Data loaded!

8 Classes detected!
verbose: False
lr_scheduler: False
depth_coefficient: 1.0
learning_rate: 0.001
epochs: 200
compound_coefficient: 1.0
width_coefficient: 1.0
model_name: efficientnet
output_dir: results/efficientnet_adam_0.001_d1.0_w1.0_r1.0_c1.0/
crop_size: 224
batch_size: 32
data_augmentation: False
img_size: 256
resolution_coefficient: 1.0
optimizer: adam
path_extension: 

---- Start Training ----
[2019-06-05 13:27:23] Epoch 136, Train Loss: 0.525396, Val Loss: 0.821524, Train Acc: 80.75, Val Acc: 72.91
[2019-06-05 13:36:23] Epoch 137, Train Loss: 0.523419, Val Loss: 0.783941, Train Acc: 80.63, Val Acc: 73.70
[2019-06-05 13:45:23] Epoch 138, Train Loss: 0.523415, Val Loss: 0.788934, Train Acc: 80.68, Val Acc: 71.97
[2019-06-05 13:54:23] Epoch 139, Train Loss: 0.515840, Val Loss: 0.841419, Train Acc: 81.06, Val Acc: 69.10
[2019-06-05 14:03:24] Epoch 140, Train Loss: 0.519871, Val Loss: 0.885665, Train Acc: 80.77, Val Acc: 70.78
[2019-06-05 14:12:24] Epoch 141, Train Loss: 0.518180, Val Loss: 0.808267, Train Acc: 80.92, Val Acc: 72.55
[2019-06-05 14:21:26] Epoch 142, Train Loss: 0.520064, Val Loss: 0.808230, Train Acc: 80.82, Val Acc: 72.18
[2019-06-05 14:30:27] Epoch 143, Train Loss: 0.516959, Val Loss: 0.768562, Train Acc: 80.92, Val Acc: 72.52
[2019-06-05 14:39:28] Epoch 144, Train Loss: 0.515269, Val Loss: 0.830461, Train Acc: 81.11, Val Acc: 72.86
[2019-06-05 14:48:27] Epoch 145, Train Loss: 0.504321, Val Loss: 0.794217, Train Acc: 81.14, Val Acc: 72.18
[2019-06-05 14:57:28] Epoch 146, Train Loss: 0.505452, Val Loss: 0.841897, Train Acc: 81.40, Val Acc: 71.94
[2019-06-05 15:06:29] Epoch 147, Train Loss: 0.508750, Val Loss: 0.816787, Train Acc: 81.14, Val Acc: 71.91
[2019-06-05 15:15:30] Epoch 148, Train Loss: 0.512330, Val Loss: 0.798001, Train Acc: 81.27, Val Acc: 71.31
[2019-06-05 15:24:29] Epoch 149, Train Loss: 0.503973, Val Loss: 0.829126, Train Acc: 81.18, Val Acc: 72.81
[2019-06-05 15:33:28] Epoch 150, Train Loss: 0.507378, Val Loss: 0.828778, Train Acc: 81.25, Val Acc: 71.94
[2019-06-05 15:42:27] Epoch 151, Train Loss: 0.508018, Val Loss: 0.792644, Train Acc: 81.19, Val Acc: 72.57
[2019-06-05 15:51:26] Epoch 152, Train Loss: 0.503842, Val Loss: 0.761201, Train Acc: 81.47, Val Acc: 73.52
[2019-06-05 16:00:26] Epoch 153, Train Loss: 0.502941, Val Loss: 0.811128, Train Acc: 81.66, Val Acc: 71.41
[2019-06-05 16:09:28] Epoch 154, Train Loss: 0.503230, Val Loss: 0.776205, Train Acc: 81.07, Val Acc: 73.15
[2019-06-05 16:18:29] Epoch 155, Train Loss: 0.496036, Val Loss: 0.790227, Train Acc: 81.67, Val Acc: 73.02
[2019-06-05 16:27:31] Epoch 156, Train Loss: 0.496779, Val Loss: 0.814371, Train Acc: 81.69, Val Acc: 71.23
[2019-06-05 16:36:33] Epoch 157, Train Loss: 0.496518, Val Loss: 0.774845, Train Acc: 81.59, Val Acc: 73.52
[2019-06-05 16:45:33] Epoch 158, Train Loss: 0.487241, Val Loss: 0.787139, Train Acc: 82.10, Val Acc: 73.10
[2019-06-05 16:54:33] Epoch 159, Train Loss: 0.495880, Val Loss: 0.772115, Train Acc: 81.73, Val Acc: 73.10
[2019-06-05 17:03:33] Epoch 160, Train Loss: 0.495043, Val Loss: 0.819627, Train Acc: 81.93, Val Acc: 72.52
[2019-06-05 17:12:34] Epoch 161, Train Loss: 0.487508, Val Loss: 0.816658, Train Acc: 82.00, Val Acc: 70.91
[2019-06-05 17:21:33] Epoch 162, Train Loss: 0.489676, Val Loss: 0.779709, Train Acc: 81.97, Val Acc: 72.73
[2019-06-05 17:30:33] Epoch 163, Train Loss: 0.481540, Val Loss: 0.829947, Train Acc: 81.98, Val Acc: 72.28
[2019-06-05 17:39:36] Epoch 164, Train Loss: 0.484290, Val Loss: 0.862368, Train Acc: 82.03, Val Acc: 70.12
[2019-06-05 17:48:37] Epoch 165, Train Loss: 0.485396, Val Loss: 0.791863, Train Acc: 82.27, Val Acc: 71.70
[2019-06-05 17:57:36] Epoch 166, Train Loss: 0.491399, Val Loss: 0.819362, Train Acc: 81.98, Val Acc: 72.39
[2019-06-05 18:06:36] Epoch 167, Train Loss: 0.487495, Val Loss: 0.790403, Train Acc: 81.97, Val Acc: 72.57
[2019-06-05 18:15:36] Epoch 168, Train Loss: 0.483039, Val Loss: 0.853842, Train Acc: 82.08, Val Acc: 71.44
[2019-06-05 18:24:36] Epoch 169, Train Loss: 0.481523, Val Loss: 0.782532, Train Acc: 82.08, Val Acc: 72.62
[2019-06-05 18:33:35] Epoch 170, Train Loss: 0.476230, Val Loss: 0.815189, Train Acc: 82.38, Val Acc: 72.65
[2019-06-05 18:42:35] Epoch 171, Train Loss: 0.478006, Val Loss: 0.838333, Train Acc: 82.23, Val Acc: 70.12
[2019-06-05 18:51:35] Epoch 172, Train Loss: 0.483443, Val Loss: 0.785097, Train Acc: 82.39, Val Acc: 73.28
[2019-06-05 19:00:36] Epoch 173, Train Loss: 0.473309, Val Loss: 0.809736, Train Acc: 82.46, Val Acc: 73.02
[2019-06-05 19:09:36] Epoch 174, Train Loss: 0.474740, Val Loss: 0.775045, Train Acc: 82.17, Val Acc: 73.47
[2019-06-05 19:18:35] Epoch 175, Train Loss: 0.473190, Val Loss: 0.853480, Train Acc: 82.64, Val Acc: 72.65
[2019-06-05 19:27:35] Epoch 176, Train Loss: 0.475033, Val Loss: 0.817676, Train Acc: 82.41, Val Acc: 73.23
